i,j,feat_i,feat_j,rho0,d_star2,d2_best,amplification
0,1,rel_spread_mean,rel_spread_std,0.6497318443279223,0.10434975721553766,0.10129775679494304,1.0301290030219798
0,2,rel_spread_mean,imbalance_mean,-0.04488301539862298,0.029298012986668804,0.02715804883298205,1.0787966825911248
0,3,rel_spread_mean,imbalance_std,-0.26875468866905977,0.25411284751149427,0.1718769535557762,1.4784579447938115
0,4,rel_spread_mean,bid_depth_mean,0.14636283991938256,0.04370911337841828,0.02715804883298205,1.6094349652002913
0,5,rel_spread_mean,ask_depth_mean,0.1930912562970201,0.02861279928851245,0.02715804883298205,1.0535660888039822
0,6,rel_spread_mean,log_total_volume,-0.3477658980251503,0.14686204553732377,0.07132965730979338,2.0589198248841156
0,7,rel_spread_mean,log_max_step_volume,-0.3164616852851949,0.2268550919017926,0.13820238969408163,1.641470110639537
0,8,rel_spread_mean,realised_vol_bps,0.03518752299443455,0.273028095420089,0.25134638547683097,1.086262270699161
0,9,rel_spread_mean,up_move_freq,-0.31526730101409606,0.05696691114738822,0.02715804883298205,2.0976069193234843
0,10,rel_spread_mean,abs_return_mean_bps,0.01149667026184187,0.22803308781314452,0.202550265701594,1.1258098676063597
0,11,rel_spread_mean,range_bps,0.013120632581952672,0.2233743194966938,0.19810258781697637,1.127568912441798
1,2,rel_spread_std,imbalance_mean,-0.11292129548569109,0.10695844961006916,0.10129775679494304,1.0558817193413774
1,3,rel_spread_std,imbalance_std,0.1949487944430332,0.2304874856729871,0.1718769535557762,1.3410028564311913
1,4,rel_spread_std,bid_depth_mean,-0.17800402544119645,0.14599444146194124,0.10129775679494304,1.4412406165861862
1,5,rel_spread_std,ask_depth_mean,-0.17666355878040954,0.11754803004444697,0.10129775679494304,1.160420859885371
1,6,rel_spread_std,log_total_volume,-0.3979022752176867,0.2854708175528632,0.10129775679494304,2.8181356289136934
1,7,rel_spread_std,log_max_step_volume,-0.34423448565855286,0.3641052221843769,0.13820238969408163,2.634579785417193
1,8,rel_spread_std,realised_vol_bps,0.3231271258199755,0.27861547425018296,0.25134638547683097,1.1084920665225386
1,9,rel_spread_std,up_move_freq,0.09748526882498987,0.10789974659317379,0.10129775679494304,1.0651740967136631
1,10,rel_spread_std,abs_return_mean_bps,0.3144581944977707,0.2372187504279688,0.202550265701594,1.1711599074249053
1,11,rel_spread_std,range_bps,0.2833902233095286,0.23824402437028364,0.19810258781697637,1.2026295415706192
2,3,imbalance_mean,imbalance_std,-0.12954875127107374,0.18058394320576907,0.1718769535557762,1.050658273083525
2,4,imbalance_mean,bid_depth_mean,0.16670043279177316,0.023107316681627712,0.022917615390807687,1.0082775318280328
2,5,imbalance_mean,ask_depth_mean,-0.09089790768536853,0.006846697194337488,0.004794767932995103,1.4279517361459921
2,6,imbalance_mean,log_total_volume,0.025118819223036503,0.07236122577248978,0.07132965730979338,1.0144619854013341
2,7,imbalance_mean,log_max_step_volume,0.0021528044347751394,0.1396476297373894,0.13820238969408163,1.0104574171727918
2,8,imbalance_mean,realised_vol_bps,-0.1658956239997289,0.26664844816812394,0.25134638547683097,1.0608803769438073
2,9,imbalance_mean,up_move_freq,-0.16652488086544218,0.0159145156215155,0.012519944509277837,1.2711330796811546
2,10,imbalance_mean,abs_return_mean_bps,-0.15542645967806337,0.2146734177722072,0.202550265701594,1.0598525606896687
2,11,imbalance_mean,range_bps,-0.17329932873364332,0.21196322735096293,0.19810258781697637,1.0699669786585129
3,4,imbalance_std,bid_depth_mean,-0.2546455809423024,0.242482059407826,0.1718769535557762,1.4107886740565108
3,5,imbalance_std,ask_depth_mean,-0.2729396082721801,0.20782455388611415,0.1718769535557762,1.2091472974512112
3,6,imbalance_std,log_total_volume,0.1526532201150016,0.21439780844087716,0.1718769535557762,1.2473912529017592
3,7,imbalance_std,log_max_step_volume,0.18652107932936607,0.2616892792880699,0.1718769535557762,1.5225385013770825
3,8,imbalance_std,realised_vol_bps,0.5383562829921231,0.28082070894076105,0.25134638547683097,1.1172657542220634
3,9,imbalance_std,up_move_freq,0.47787092612953874,0.18151160007254463,0.1718769535557762,1.0560554880537947
3,10,imbalance_std,abs_return_mean_bps,0.5579474862755429,0.24135323800890476,0.202550265701594,1.1915720632254168
3,11,imbalance_std,range_bps,0.5188610967885456,0.2442508845682502,0.19810258781697637,1.232951508911683
4,5,bid_depth_mean,ask_depth_mean,0.732230346949381,0.02664944728949684,0.022917615390807687,1.1628368324998595
4,6,bid_depth_mean,log_total_volume,0.38541632037192075,0.07408660793505946,0.07132965730979338,1.0386508323360129
4,7,bid_depth_mean,log_max_step_volume,0.36781250351995043,0.13845056357824212,0.13820238969408163,1.0017957278793068
4,8,bid_depth_mean,realised_vol_bps,-0.06562522209331713,0.28545479337601487,0.25134638547683097,1.1357027984885344
4,9,bid_depth_mean,up_move_freq,-0.2857022051414335,0.049126527575492046,0.022917615390807687,2.1436142782637333
4,10,bid_depth_mean,abs_return_mean_bps,-0.07562233118648277,0.237128557906474,0.202550265701594,1.1707146227881144
4,11,bid_depth_mean,range_bps,-0.10619321625878404,0.23801485418161403,0.19810258781697637,1.2014727157502452
5,6,ask_depth_mean,log_total_volume,0.39544612084927466,0.0728976262333596,0.07132965730979338,1.021982005559852
5,7,ask_depth_mean,log_max_step_volume,0.38251994095459674,0.14443790502066842,0.13820238969408163,1.0451187229134709
5,8,ask_depth_mean,realised_vol_bps,-0.05049247413711489,0.2603105287660544,0.25134638547683097,1.035664500494875
5,9,ask_depth_mean,up_move_freq,-0.29298534386859887,0.02390694729564495,0.012519944509277837,1.9095090459809017
