param,mult,value,r_star,c_star,dr_dalpha,dc_dbeta,dr_dbeta,dc_dalpha,tau_priv,tau_soc,wedge
baseline,1.0,,0.21545693771282182,0.20683830410921775,-0.4516956113658674,-0.5882992883695857,0.15953358118670893,0.1595334341358283,0.1499999999999999,0.1499999999999999,0.0
k,-0.5,60.0,0.30459810780920926,0.14620708070525523,-0.7405065517061616,-0.6740332303763066,0.2983497499562668,0.2983497434652941,0.5500000000000003,0.5500000000000003,0.0
k,-0.25,90.0,0.2524591121241234,0.18177038249580826,-0.5643184841226229,-0.6202042039648294,0.21192014420720104,0.21192005766692285,0.30000000000000027,0.30000000000000027,0.0
k,0.25,150.0,0.18785698671139975,0.2254285313395272,-0.3743912869208671,-0.5678520931570932,0.1253019340514697,0.125301986910045,1.3000000000000003,0.9000000000000004,0.3999999999999999
k,0.5,180.0,0.16649192664666318,0.23974846536769168,-0.318480731393038,-0.553953889312907,0.10163928034761884,0.1016393092048078,1.3000000000000003,0.9000000000000004,0.3999999999999999
ell,-0.5,50.0,0.16343827201840655,0.31380152105363984,-0.5102991139548776,-1.019413724594676,0.30642412562973464,0.30642413784964856,0.20000000000000018,0.20000000000000018,0.0
ell,-0.25,75.0,0.1948291840365716,0.24938158666791396,-0.4723624891272501,-0.7494002568751504,0.21266113010343637,0.21266121664315937,0.20000000000000018,0.20000000000000018,0.0
ell,0.25,125.0,0.23003110805950902,0.17666364198096096,-0.4391245413913376,-0.4823340827764663,0.12608850610825284,0.1260883965855362,1.3000000000000003,0.9000000000000004,0.3999999999999999
ell,0.5,150.0,0.24086896406211133,0.15415616200407714,-0.4308611931909904,-0.40777884311010726,0.10342602326466732,0.10342603475736169,1.3000000000000003,0.9000000000000004,0.3999999999999999
L,-0.5,100.0,0.34408902094984417,0.33032546493724624,-0.442004222693455,-0.5435567086776729,0.045350480974223686,0.04535048254462545,1.25,0.30000000000000027,0.9499999999999997
L,-0.25,150.0,0.26546094958904776,0.2548425072970587,-0.4514528267521911,-0.5741545922706155,0.11176276634916955,0.11176276469055126,1.3000000000000003,0.20000000000000018,1.1
L,0.25,250.0,0.17933096654481576,0.17215762085114164,-0.4500818123066386,-0.5968696168617708,0.19576379162211074,0.19576374564082463,0.10000000000000009,0.10000000000000009,0.0
L,0.5,300.0,0.15129115392774087,0.14523944393364643,-0.448065474201379,-0.6028176553558742,0.22461766031604524,0.22461763217409825,0.050000000000000266,0.9500000000000002,-0.8999999999999999
alpha,-0.5,0.5,0.5103732997519854,0.17991664355305612,-0.70229759859328,-0.520876132060726,0.13241045260435833,-0.108244667601347,1.2000000000000002,0.8000000000000003,0.3999999999999999
alpha,-0.25,0.75,0.3464301259909006,0.17676389921827093,-0.5958231390233574,-0.5618754963620369,0.16966377545180444,0.06832785291980546,1.25,0.8500000000000001,0.3999999999999999
alpha,0.25,1.25,0.11912355659008776,0.2514866443483304,-0.3237244511920664,-0.5907115082877853,0.12360673513732973,0.1901901692433759,0.25,0.25,0.0
alpha,0.5,1.5,0.05098345620813032,0.29929607856548784,-0.22655590015785346,-0.5738851782776576,0.08124170654176156,0.18880682147997915,0.3500000000000001,0.3500000000000001,0.0
beta,-0.5,0.4,0.19597027896079142,0.4940657941436237,-0.39732328972629943,-0.8139445849892691,-0.10231034896841358,0.1152190679251486,1.25,0.8500000000000001,0.3999999999999999
beta,-0.25,0.6000000000000001,0.1925863270536538,0.3386621505473377,-0.4250512741852239,-0.7263856429296701,0.05904271050231092,0.15530091928143916,1.25,0.8500000000000001,0.3999999999999999
