param,dr_dalpha_min,dr_dalpha_max,dc_dbeta_min,dc_dbeta_max,wedge_min,wedge_max
k,-0.7405065517061616,-0.318480731393038,-0.6740332303763066,-0.553953889312907,0.0,0.3999999999999999
ell,-0.5102991139548776,-0.4308611931909904,-1.019413724594676,-0.40777884311010726,0.0,0.3999999999999999
L,-0.4514528267521911,-0.442004222693455,-0.6028176553558742,-0.5435567086776729,-0.8999999999999999,1.1
alpha,-0.70229759859328,-0.22655590015785346,-0.5907115082877853,-0.520876132060726,0.0,0.3999999999999999
beta,-0.4668228372511615,-0.39732328972629943,-0.8139445849892691,-0.3299697762747703,0.0,0.3999999999999999
sigma,-0.49432942221688925,-0.4183951892599677,-0.6291779962296115,-0.5311349111554923,0.0,0.5
H,-0.4516956113658674,-0.4516956113658674,-0.5882992883695857,-0.5882992883695857,-0.8000000000000003,0.0
F,-0.4516956113658674,-0.4516956113658674,-0.5882992883695857,-0.5882992883695857,0.0,0.40000000000000036
xi,-0.4516956113658674,-0.4516956113658674,-0.5882992883695857,-0.5882992883695857,0.0,0.0
zeta,-0.4516956113658674,-0.4516956113658674,-0.5882992883695857,-0.5882992883695857,0.0,0.0
cD,-0.4516956113658674,-0.4516956113658674,-0.5882992883695857,-0.5882992883695857,0.0,0.0
